Country,ISO3,Region,Income_Level,GDP_Growth,Inflation,Internet_Penetration,Population,Population_Millions
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,-6.24017199240269,13.7121023720065,17.1917,40578842,40.578842
Albania,ALB,Europe & Central Asia,Upper middle income,4.82669611912765,6.72520271530052,82.6137,2777689,2.777689
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3.60000000094915,9.26551551551555,74.8319,45477389,45.477389
Angola,AGO,Sub-Saharan Africa ,Lower middle income,3.04472652391918,21.3552901320822,42.0719,35635029,35.635029
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,9.10780623385958,7.53107834634287,77.1648,92840,0.09284
Argentina,ARG,Latin America & Caribbean ,Upper middle income,5.26987967384072,72.430757531824,88.3754,45407904,45.407904
Armenia,ARM,Europe & Central Asia,Upper middle income,12.5999999997766,8.64091108973852,77.0277,2969200,2.9692
Australia,AUS,East Asia & Pacific,High income,4.24238555336139,6.59409671341846,97.0424,26014399,26.014399
Austria,AUT,Europe & Central Asia,High income,5.27789448538658,8.54686993188449,93.6141,9041851,9.041851
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,4.71468037857544,13.8522590144267,88.0,10141756,10.141756
"Bahamas, The",BHS,Latin America & Caribbean ,High income,10.8774550145968,5.60540633583038,94.7326,397538,0.397538
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,6.18016125475185,3.62574104304489,100.0,1524693,1.524693
Bangladesh,BGD,South Asia,Lower middle income,7.09982877575158,7.69695437176898,41.6165,169384897,169.384897
Belarus,BLR,Europe & Central Asia,Upper middle income,-4.65839591573585,15.209675274081,89.5073,9228071,9.228071
Belgium,BEL,Europe & Central Asia,High income,4.2593607365269,9.59751172872501,94.0078,11680210,11.68021
Belize,BLZ,Latin America & Caribbean ,Upper middle income,9.65297772389758,6.27689319447547,71.8096,402733,0.402733
Benin,BEN,Sub-Saharan Africa ,Lower middle income,6.25294705373625,1.35077863583529,30.0134,13759501,13.759501
Bhutan,BTN,South Asia,Lower middle income,5.21386783786224,5.63916671396366,86.2903,780914,0.780914
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,3.60568042633635,1.74632872945968,67.3612,12077154,12.077154
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,4.22681101095546,14.0208440826771,78.8455,3204802,3.204802
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,5.48601706446772,11.665567478802,80.3696,2439892,2.439892
Brazil,BRA,Latin America & Caribbean ,Upper middle income,3.01669435393015,9.28010608956872,80.5278,210306415,210.306415
Brunei Darussalam,BRN,East Asia & Pacific,High income,-1.62833154022366,3.68225030604211,98.9704,455370,0.45537
Bulgaria,BGR,Europe & Central Asia,High income,4.03877758301681,15.3252589264367,79.1269,6465097,6.465097
Burundi,BDI,Sub-Saharan Africa ,Low income,1.84899943948213,18.8008786664945,11.0009,13321097,13.321097
Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income,15.843675684642,7.9309292543009,72.7601,519741,0.519741
Cambodia,KHM,East Asia & Pacific,Lower middle income,5.12990110767267,5.34370264895434,59.6606,17201724,17.201724
Cameroon,CMR,Sub-Saharan Africa ,Lower middle income,3.7367840056412,6.24767713343864,41.775,27632771,27.632771
Canada,CAN,North America,High income,4.18903628100851,6.80280115341609,94.0,38935934,38.935934
Central African Republic,CAF,Sub-Saharan Africa ,Low income,0.453901881507008,5.58316735183248,,5098039,5.098039
Chad,TCD,Sub-Saharan Africa ,Low income,12.8966164300082,5.78802687843618,12.4865,18455316,18.455316
Chile,CHL,Latin America & Caribbean ,High income,2.15399356192458,11.643866711056,93.5377,19553036,19.553036
China,CHN,East Asia & Pacific,Upper middle income,3.1341888719577,1.97357555739052,75.6113,1412175000,1412.175
Colombia,COL,Latin America & Caribbean ,Upper middle income,7.32827729427979,10.1772313546166,72.7964,51737944,51.737944
"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,1.47535613247133,3.04344334698473,37.4939,6035104,6.035104
Costa Rica,CRI,Latin America & Caribbean ,High income,4.55149177958398,8.27477490232656,82.598,5081765,5.081765
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,6.39988362720531,5.27616724262842,38.4133,30395002,30.395002
Croatia,HRV,Europe & Central Asia,High income,7.28793643206565,10.7805806758686,82.0716,3855641,3.855641
Cyprus,CYP,Europe & Central Asia,High income,7.20486780743879,8.39548297993332,89.601,1331370,1.33137
Czechia,CZE,Europe & Central Asia,High income,2.8471706583814,15.1001651468372,84.5401,10672118,10.672118
Denmark,DNK,Europe & Central Asia,High income,1.54017307357893,7.69656699889264,97.8601,5903037,5.903037
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.16653702854374,5.17980847967062,63.2573,1137096,1.137096
Dominica,DMA,Latin America & Caribbean ,Upper middle income,10.3968076616121,2.88490226829352,83.3101,66826,0.066826
Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,5.23795652902595,8.81109209279586,81.5127,11230734,11.230734
Ecuador,ECU,Latin America & Caribbean ,Upper middle income,5.86842354862311,3.46616972213076,69.7181,17823897,17.823897
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6.58784560886967,13.8956609775178,72.1981,112618250,112.61825
El Salvador,SLV,Latin America & Caribbean ,Upper middle income,2.95461516549889,7.19861615609861,65.5298,6280319,6.280319
Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,3.22350831658598,4.78671704710806,59.3433,1803545,1.803545
Estonia,EST,Europe & Central Asia,High income,0.0604305165130938,19.3982634080616,91.5202,1348840,1.34884
